,ID,precipitation,temperature,elevation,evi,lai,ndvi,slope,TPI,wetness.twi,ruggedness.TRI,BK1000,Geology,Landuse,Bezirk,x,y,PROBEN_ID,BODENTYP,BODENART,POT,PUT,sand,silt,clay
0,7217,672.852294921875,10.1000003814697,104.898864746094,0.354483276605606,25.0,0.580066621303558,0.0065197423100471,-0.832091331481934,9.86911582946777,2.22941899299622,106720,123446,7,86450,498572.960935495,5544285.60516042,B5919AB00001100001,ABn,Sl4,0.0,35.0,58.0,26.0,16.0
8,7615,687.775634765625,10.1000003814697,114.535415649414,0.324777603149414,1.48030531406403,0.592137217521668,0.0114989122375846,-0.990522384643555,9.30591106414795,3.35380744934082,112112,274212,3,86450,500724.266466287,5545239.89770993,B5920AB00003500004,p4BBn,Ss,0.0,2.0,96.0,3.1,0.99
12,7637,687.775634765625,10.1000003814697,114.535415649414,0.324777603149414,1.48030531406403,0.592137217521668,0.0114989122375846,-0.990522384643555,9.30591106414795,3.35380744934082,112112,274212,3,86450,500724.266466287,5545239.89770993,B5920AB00003500005,p4BBn,Ss,2.0,7.0,97.0,2.7,0.54
27,1972,690.858642578125,10.0845069885254,119.044357299805,0.366336524486542,2.04482793807983,0.687068223953247,0.0030726683326065,-0.951858043670654,10.2137002944946,1.19392883777618,112112,274212,3,86450,501998.435809829,5548788.57409779,B5920AB00001500003,p3BBn,Ss,1.0,43.0,91.1,7.0,1.9
29,2506,675.190979003906,9.89999961853027,132.488082885742,0.352142155170441,2.75820183753967,0.720567107200623,0.0113406293094158,-0.39240288734436,9.05528926849365,4.0474910736084,112112,274212,4,86450,502333.823045004,5536903.82079412,B6020AB00002700005,p4BB-SS,St2,2.0,6.0,82.2,9.6,8.3
37,2478,687.680419921875,9.79602527618408,139.182830810547,0.214711129665375,25.0,0.402495563030243,0.0033700843341648,-0.429403036832809,10.9655771255493,1.8216245174408,112112,159685,1,86450,502753.408424582,5531205.51726919,B6020AB00001800001,vBBn,Su2,0.0,10.0,74.4,22.4,3.2
43,1695,694.088134765625,10.0,112.345970153809,0.225993230938911,17.5958309173584,0.394967943429947,0.0066164243035018,-1.20982038974762,10.3008117675781,1.52892959117889,112112,159685,1,86450,502903.647077393,5544500.58295084,B5920AB00000200001,vBBn,Su2,0.0,18.0,82.8,16.0,1.2
46,7648,695.90478515625,10.0,110.308097839355,0.275106191635132,7.79476356506348,0.589667797088623,0.0389303155243397,-1.27406144142151,9.14597797393799,4.27752494812012,112112,159685,9,86450,502943.774099184,5544970.12751533,B5920AB00001200001,vBB-GG,Sl4,0.0,20.0,74.0,12.0,14.0
50,2474,693.712951660156,9.80000019073486,119.177688598633,0.300380975008011,1.71078646183014,0.539551496505737,0.0467669814825058,-0.829049468040466,8.603440284729,9.45674896240234,112112,159685,1,86450,503722.623052108,5531645.32872197,B6020AB00001600001,vBBn,Sl3,0.0,25.0,71.1,20.9,8.0
63,7661,702.327209472656,10.0,126.429237365723,0.365748822689056,2.45761704444885,0.71893721818924,0.0233737025409937,-1.07013893127441,8.96167278289795,5.13101577758789,112112,274212,4,86450,503742.663925642,5546040.07968863,B5920AB00004700003,p4BBn,Ss,0.0,5.0,95.0,4.0,1.5
74,8075,727.865539550781,9.8820915222168,140.368118286133,0.319784790277481,2.97341895103455,0.575935781002045,0.099397599697113,-0.736107647418976,6.8844313621521,13.4568786621094,112112,274212,1,86450,504048.337695442,5549659.90062394,B5820AB01501100001,BBn,St2,0.0,15.0,90.0,5.2,5.0
75,3930,705.492004394531,9.71048450469971,141.581405639648,0.346220552921295,9.69683361053467,0.527835249900818,0.0155213754624128,-0.536717176437378,9.7516565322876,3.38072490692139,112112,159685,2,86450,504112.545478901,5529626.26051257,B6020AB00001700001,vLLn,Ut2,0.0,20.0,18.8,69.7,11.5
